Občanství,Kód,Kód zn.,Kód zn..1,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet,Rok,Q
Madagaskar,450,MG,MDG,3,0,0,0,0,0,1,0,1,0,1,0,1,0,7,2017,2
Malajsie,458,MY,MYS,5,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2017,2
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2017,2
Malta,470,MT,MLT,6,1,1,0,0,1,0,1,0,0,0,0,1,0,11,2017,2
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2017,2
Mauricius,480,MU,MUS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2017,2
Mexiko,484,MX,MEX,46,4,1,1,1,0,0,2,2,0,2,1,2,0,62,2017,2
Monako,492,MC,MCO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2017,2
Mongolsko,496,MN,MNG,77,12,1,8,11,8,12,13,4,10,34,10,3,13,216,2017,2
Moldavsko,498,MD,MDA,258,120,23,63,18,38,40,25,17,25,51,27,7,13,725,2017,2
Černá Hora,499,ME,MNE,13,3,0,2,3,2,0,1,0,0,1,2,1,0,28,2017,2
Maroko,504,MA,MAR,34,5,0,0,0,3,3,0,0,0,1,1,2,1,50,2017,2
Namibie,516,,NAM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2017,2
Nepál,524,NP,NPL,4,1,0,3,0,3,0,1,0,0,2,0,0,0,14,2017,2
Nizozemsko,528,NL,NLD,105,32,24,14,6,17,21,15,9,7,22,9,4,7,292,2017,2
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2017,2
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2017,2
Nový Zéland,554,NZ,NZL,16,3,0,0,0,2,3,1,1,0,2,0,1,1,30,2017,2
Niger,562,NE,NER,11,2,0,0,0,0,0,0,0,0,1,0,0,0,14,2017,2
Nigérie,566,NG,NGA,120,7,1,0,1,12,1,1,1,0,3,0,2,1,150,2017,2
Norsko,578,NO,NOR,13,3,1,0,0,1,2,0,0,0,0,0,0,1,21,2017,2
Pákistán,586,PK,PAK,44,9,0,5,0,6,0,2,0,1,4,1,1,0,73,2017,2
Panama,591,PA,PAN,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2017,2
Paraguay,600,PY,PRY,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2017,2
Peru,604,PE,PER,19,9,0,0,0,5,0,1,0,0,8,1,2,0,45,2017,2
Filipíny,608,PH,PHL,28,3,1,2,0,5,0,0,0,0,2,0,0,2,43,2017,2
Polsko,616,PL,POL,416,172,38,59,31,113,139,306,66,22,117,139,781,37,2436,2017,2
Portugalsko,620,PT,PRT,45,5,0,4,2,1,2,1,1,2,8,1,4,1,77,2017,2
Guinea-Bissau,624,GW,GNB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2017,2
Portoriko,630,PR,PRI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,2
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,2
Rumunsko,642,RO,ROU,563,145,45,207,28,82,22,37,50,28,131,45,13,47,1443,2017,2
Rusko,643,RU,RUS,1806,360,19,41,189,129,40,22,18,14,115,37,46,19,2855,2017,2
Rwanda,646,RW,RWA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,2
Svatý Kryštof a Nevis,659,KN,KNA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,2
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,2
Svatý Tomáš a Princův ostrov,678,ST,STP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2017,2
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017,2
Senegal,686,SN,SEN,10,5,0,0,0,1,0,0,0,0,0,0,0,0,16,2017,2
Srbsko,688,RS,SRB,106,17,0,7,13,11,2,5,0,3,21,5,6,6,202,2017,2
Sierra Leone,694,SL,SLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2017,2
Singapur,702,SG,SGP,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2017,2
