Počty podnikatelů dle občanství podnikajících v České republice,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
Období:,stav k 31. 12. 2016,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Svatý Tomáš a Princův ostrov,678,ST,STP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Senegal,686,SN,SEN,8,5,0,1,0,1,0,1,0,0,0,0,0,0,16
Srbsko,688,RS,SRB,101,15,1,9,11,11,4,5,0,0,18,4,9,4,192
Sierra Leone,694,SL,SLE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Singapur,702,SG,SGP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Slovensko,703,SK,SVK,5499,2076,458,617,253,530,395,391,373,295,1999,454,1281,821,15442
Vietnam,704,VN,VNM,4249,2032,1037,2514,3148,3659,824,583,530,456,1435,546,1109,293,22415
Slovinsko,705,SI,SVN,35,6,2,0,2,2,2,1,1,0,7,1,5,2,66
Somálsko,706,SO,SOM,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Jižní Afrika,710,ZA,ZAF,22,4,3,0,1,2,1,1,0,0,8,2,1,2,47
Zimbabwe,716,ZW,ZWE,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3
Španělsko,724,ES,ESP,200,16,5,4,2,4,5,4,6,1,22,8,9,2,288
Súdán,729,SD,SDN,5,1,0,0,0,1,0,0,0,0,0,0,0,0,7
Surinam,740,SR,SUR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Švédsko,752,SE,SWE,50,10,2,2,4,11,2,0,0,3,8,0,4,2,98
Švýcarsko,756,CH,CHE,31,7,3,1,5,1,4,1,1,1,5,0,3,1,64
Sýrie,760,SY,SYR,38,13,2,12,3,17,6,7,1,1,31,6,16,4,157
Tádžikistán,762,TJ,TJK,8,0,0,0,0,0,0,0,0,0,1,0,0,0,9
Thajsko,764,TH,THA,89,7,4,10,3,2,1,2,1,0,4,1,2,2,128
Spojené arabské emiráty,784,AE,ARE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Tunisko,788,TN,TUN,61,16,6,4,2,4,4,4,0,0,7,0,5,1,114
Turecko,792,TR,TUR,48,13,5,6,4,17,6,6,3,2,6,4,8,5,133
Turkmenistán,795,TM,TKM,5,0,0,0,1,0,0,0,0,0,1,0,0,0,7
Uganda,800,UG,UGA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Ukrajina,804,UA,UKR,9845,2922,688,1308,598,1154,719,850,823,437,1861,406,268,271,22150
Makedonie,807,MK,MKD,131,31,7,7,0,48,1,5,1,2,21,14,34,7,309
Egypt,818,EG,EGY,25,10,3,2,3,7,4,5,3,1,6,9,5,2,85
Velká Británie,826,GB,GBR,881,161,42,50,19,29,62,29,44,23,119,40,64,40,1603
Guernsey,831,GG,GGY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Tanzanie,834,TZ,TZA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Spojené státy,840,US,USA,996,83,38,19,7,23,22,17,13,10,62,24,30,19,1363
Burkina Faso,854,BF,BFA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Uruguay,858,UY,URY,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4
Uzbekistán,860,UZ,UZB,290,10,1,12,5,1,1,7,4,2,7,1,1,0,342
Venezuela,862,VE,VEN,14,2,0,0,0,0,0,1,0,0,2,0,0,0,19
Jemen,887,YE,YEM,10,1,0,2,0,3,1,0,0,1,3,1,1,0,23
Srbsko a Černá Hora,891,CS,SCG,266,54,16,15,11,27,11,5,1,2,23,8,15,7,461
Zambie,894,ZM,ZMB,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
Součet,SUM1,,,326591,257121,123085,108227,55665,132008,91577,106187,90191,85147,218138,106560,187688,108152,1996337
Z toho cizinci,SUM2,,,31095,9461,2871,5509,4936,7893,2603,2534,2151,1532,7042,2103,4090,1808,85628
