Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet
Zimbabwe,716,ZW,ZWE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Španělsko,724,ES,ESP,312,19,8,6,3,7,8,5,7,2,29,7,9,5,427
Súdán,729,SD,SDN,4,1,0,0,0,2,0,0,0,0,0,0,0,0,7
Surinam,740,SR,SUR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Švédsko,752,SE,SWE,88,24,1,19,1,16,2,0,0,4,8,1,6,0,170
Švýcarsko,756,CH,CHE,37,6,5,1,5,1,5,2,1,1,4,0,3,2,73
Sýrie,760,SY,SYR,46,15,4,14,7,20,7,8,1,1,24,7,18,4,176
Tádžikistán,762,TJ,TJK,10,1,0,0,0,0,0,0,0,0,1,0,0,0,12
Thajsko,764,TH,THA,92,14,6,6,2,7,2,1,2,0,6,2,2,3,145
Togo,768,TG,TGO,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Trinidad a Tobago,780,TT,TTO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spojené arabské emiráty,784,AE,ARE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Tunisko,788,TN,TUN,83,26,4,4,4,11,4,6,4,1,10,4,7,1,169
Turecko,792,TR,TUR,90,18,6,8,4,18,7,5,4,3,10,5,8,7,193
Turkmenistán,795,TM,TKM,6,0,0,0,0,0,0,0,0,0,1,0,0,0,7
Uganda,800,UG,UGA,2,1,0,0,0,0,0,1,0,0,0,0,0,0,4
Ukrajina,804,UA,UKR,10461,3199,644,1333,639,1182,717,806,789,412,1560,452,274,256,22724
Severní Makedonie,807,MK,MKD,119,32,5,9,3,50,1,9,2,3,20,15,34,7,309
Egypt,818,EG,EGY,34,15,3,1,5,9,4,8,5,2,9,7,11,3,116
Velká Británie,826,GB,GBR,1044,206,43,55,17,39,69,37,46,27,137,44,67,48,1879
Guernsey,831,GG,GGY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Tanzanie,834,TZ,TZA,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Spojené státy,840,US,USA,1254,114,40,27,6,30,19,17,14,11,58,25,42,22,1679
Burkina Faso,854,BF,BFA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Uruguay,858,UY,URY,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4
Uzbekistán,860,UZ,UZB,284,27,0,18,4,4,3,8,2,2,5,4,0,0,361
Venezuela,862,VE,VEN,26,1,0,0,0,0,0,2,0,0,4,0,1,0,34
Jemen,887,YE,YEM,9,3,0,2,0,6,1,0,1,0,2,1,2,0,27
Srbsko a Černá Hora,891,CS,SCG,237,46,15,14,8,21,9,5,1,2,19,7,14,7,405
Zambie,894,ZM,ZMB,2,2,0,0,0,0,0,1,0,0,0,0,0,0,5
Součet,SUM1,,,344848,269160,125046,109760,54410,133260,91838,108009,92436,87964,223394,109016,189544,109907,2048592
Z toho cizinci,SUM2,,,36523,10570,2809,5540,4690,7867,2639,2561,2208,1489,7446,2294,4334,1890,92860
