Občanství,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2020 Q1,2024 Q1,2024 Q2,2024 Q3
Malajsie,7,6,6,6,6,7,9,10,10,11,12,12,12,10,10,10
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maledivy,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
Mali,3,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4
Malta,9,10,10,11,11,12,12,11,13,15,15,16,16,27,27,29
Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maroko,49,52,51,50,50,51,51,53,56,59,60,65,64,79,79,78
Marshallovy ostrovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauricius,1,1,1,2,2,2,2,2,2,2,2,3,3,5,5,6
Mauritánie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maďarsko,576,604,627,662,683,735,771,814,853,922,959,985,1087,1715,1761,1790
Menší odlehlé ostrovy USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexiko,57,59,58,58,62,64,67,67,69,68,71,73,77,119,128,128
Mikronésie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldavsko,690,713,715,712,725,727,726,732,725,736,737,737,758,911,911,925
Monako,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Mongolsko,211,207,207,216,216,220,228,231,236,237,241,247,275,413,425,439
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosambik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,5,5,5,5,5,5,5,5,6,6,5,6,6,7,14,9
Namibie,2,2,2,2,2,3,3,2,2,2,2,2,4,5,5,5
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepál,15,14,13,14,14,11,11,9,9,9,8,8,7,16,19,18
Niger,14,14,14,14,14,15,15,15,15,15,15,15,14,11,11,12
Nigérie,141,145,147,149,150,153,152,151,149,154,154,153,169,217,224,224
Nikaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nizozemsko,272,274,278,287,292,286,296,300,306,308,315,323,335,385,387,0
Nizozemské Antily,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Nizozemské království,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395
Norfolk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norsko,20,21,20,20,21,24,25,27,27,27,27,30,30,37,38,41
