Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Martin (FR),663,MF,MAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre a Miquelon,666,PM,SPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Vincenc a Grenadiny,670,VC,VCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,674,SM,SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Tomáš a Princův ostrov,678,ST,STP,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Senegal,686,SN,SEN,16,4,0,0,0,1,0,0,0,0,0,0,0,0
Srbsko,688,RS,SRB,194,55,2,9,14,26,6,4,2,6,32,6,6,8
Seychely,690,SC,SYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,694,SL,SLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapur,702,SG,SGP,5,0,1,1,0,1,0,0,0,0,1,0,0,0
Slovensko,703,SK,SVK,10443,3139,585,844,307,779,504,480,534,350,4028,629,1736,1031
Vietnam,704,VN,VNM,4493,2059,904,2230,2723,3269,675,537,551,359,1378,562,1058,308
Slovinsko,705,SI,SVN,51,9,2,2,3,2,1,2,2,1,13,1,6,1
Somálsko,706,SO,SOM,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jižní Afrika,710,ZA,ZAF,39,7,1,1,3,1,1,0,1,0,9,4,1,4
Zimbabwe,716,ZW,ZWE,8,1,0,0,0,1,0,0,1,0,1,0,1,0
Španělsko,724,ES,ESP,455,24,11,8,5,8,7,6,7,0,47,14,15,5
Jižní Súdán,728,SS,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Súdán,729,SD,SDN,5,1,0,1,0,1,0,0,0,0,0,0,1,0
Západní Sahara,732,EH,ESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surinam,740,SR,SUR,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Špicberky a Jan Mayen,744,SJ,SJM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svazijsko,748,SZ,SWZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Švédsko,752,SE,SWE,161,23,2,21,1,13,0,0,1,5,10,2,5,1
Švýcarsko,756,CH,CHE,46,6,9,3,4,5,5,2,1,2,3,0,2,0
Sýrie,760,SY,SYR,71,19,4,14,8,21,5,8,5,2,31,8,19,6
Tádžikistán,762,TJ,TJK,25,5,0,0,1,0,0,0,0,0,3,0,0,0
Thajsko,764,TH,THA,183,23,8,17,5,12,2,0,4,2,6,5,3,2
Togo,768,TG,TGO,1,0,0,0,0,0,0,0,2,0,1,0,0,0
Tokelau,772,TK,TKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,776,TO,TON,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Trinidad a Tobago,780,TT,TTO,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spojené arabské emiráty,784,AE,ARE,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Tunisko,788,TN,TUN,114,39,3,9,8,18,7,9,3,2,20,11,18,6
Turecko,792,TR,TUR,214,33,10,10,5,18,14,11,11,3,26,12,16,9
Turkmenistán,795,TM,TKM,11,0,0,0,0,2,0,0,0,0,0,0,0,0
Turks a Caicos,796,TC,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,798,TV,TUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,800,UG,UGA,4,2,1,0,0,1,0,2,0,0,0,1,0,0
Ukrajina,804,UA,UKR,18074,6149,1045,2175,969,1799,1096,1390,1614,959,2826,681,677,417
Severní Makedonie,807,MK,MKD,145,27,14,9,2,55,4,8,8,3,28,21,36,9
Egypt,818,EG,EGY,76,16,2,3,5,13,5,6,12,2,23,6,20,6
Velká Británie a Severní Irsko,826,GB,GBR,922,223,45,31,13,39,37,33,44,17,131,40,73,48
Guernsey,831,GG,GGY,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jersey,832,JE,JEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man,833,IM,IMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzanie,834,TZ,TZA,3,0,0,0,0,0,0,0,0,0,1,0,1,0
Spojené státy,840,US,USA,1266,127,44,33,9,30,21,17,15,11,62,29,45,21
Americké Panenské ostrovy,850,VI,VIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,854,BF,BFA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Uruguay,858,UY,URY,1,1,0,1,0,0,0,0,1,0,0,0,0,0
Uzbekistán,860,UZ,UZB,627,67,2,18,9,5,4,5,4,4,8,7,1,0
Venezuela,862,VE,VEN,28,1,0,0,0,0,0,2,0,0,8,0,1,1
Wallis a Futuna,876,WF,WLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,882,WS,WSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jemen,887,YE,YEM,8,4,0,1,0,9,1,1,2,0,2,2,2,0
Srbsko a Černá Hora,891,CS,SCG,170,32,10,11,7,16,7,3,1,1,14,6,11,5
Zambie,894,ZM,ZMB,2,2,0,0,0,0,0,1,0,0,0,0,0,0
