Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2018 Q3,Středočeský kraj 2018 Q3,Jihočeský kraj 2018 Q3,Plzeňský kraj 2018 Q3,Karlovarský kraj 2018 Q3,Ústecký kraj 2018 Q3,Liberecký kraj 2018 Q3,Královéhradecký kraj 2018 Q3,Pardubický kraj 2018 Q3,Kraj Vysočina 2018 Q3,Jihomoravský kraj 2018 Q3,Olomoucký kraj 2018 Q3,Moravskoslezský kraj 2018 Q3,Zlínský kraj 2018 Q3
Rusko,643,RU,RUS,1942,362,21,39,195,133,40,24,21,16,117,38,48,23
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Svatý Tomáš a Princův ostrov,678,ST,STP,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Senegal,686,SN,SEN,10,5,0,0,0,1,0,0,0,0,0,0,0,0
Srbsko,688,RS,SRB,116,20,0,7,15,12,3,3,0,3,16,5,7,6
Sierra Leone,694,SL,SLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapur,702,SG,SGP,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovensko,703,SK,SVK,6614,2304,494,655,254,584,434,414,421,305,2370,494,1294,836
Vietnam,704,VN,VNM,4100,1879,973,2364,3000,3528,737,554,495,403,1356,556,1087,305
Slovinsko,705,SI,SVN,35,8,2,1,3,3,2,2,2,0,7,0,7,2
Somálsko,706,SO,SOM,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Jižní Afrika,710,ZA,ZAF,36,6,3,0,2,1,1,0,0,0,9,2,1,2
Zimbabwe,716,ZW,ZWE,2,0,0,0,0,0,0,0,1,0,0,0,0,0
Španělsko,724,ES,ESP,270,15,7,5,2,6,8,4,7,2,26,9,10,4
Súdán,729,SD,SDN,5,1,0,0,0,2,0,0,0,0,0,0,0,0
Surinam,740,SR,SUR,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Švédsko,752,SE,SWE,71,18,1,8,1,15,2,0,0,3,8,1,3,0
Švýcarsko,756,CH,CHE,34,7,4,1,7,1,5,2,1,1,5,0,3,2
Sýrie,760,SY,SYR,41,12,4,11,7,19,7,7,1,1,24,6,20,4
Tádžikistán,762,TJ,TJK,10,0,1,0,0,1,0,0,0,0,1,0,0,0
Thajsko,764,TH,THA,86,11,4,7,1,7,2,1,1,0,6,2,2,3
